id,year,majortopic,subtopic 
1532,1988,9,900
1533,1988,2,202
1534,1988,5,501
1535,1988,15,1500
1536,1988,3,302
1537,1988,6,602
1538,1988,1,107
1539,1988,5,502
1540,1988,13,1399
1541,1988,12,1299
1542,1988,12,1208
1543,1988,20,2001
1544,1988,15,1599
1545,1988,7,704
1546,1988,1,107
1547,1988,10,1002
1548,1988,15,1501
1549,1988,10,1002
1550,1988,1,107
1551,1988,13,1302
1552,1988,1,107
1553,1988,15,1500
1554,1988,0,0
1555,1988,3,302
1556,1988,13,1304
1557,1988,7,709
1558,1988,1,107
1559,1988,5,503
1560,1988,13,1300
1561,1988,12,1208
1562,1988,13,1304
1563,1988,6,601
1564,1988,10,1002
1565,1988,6,604
1566,1988,1,107
1567,1988,8,805
1568,1988,0,0
1569,1988,19,1910
1570,1988,19,1929
1571,1988,15,1502
1572,1988,15,1505
1573,1988,6,601
1574,1988,0,0
1575,1988,0,0
1576,1988,0,0
1577,1988,0,0
1578,1988,0,0
1579,1988,0,0
1580,1988,0,0
1581,1988,0,0
1582,1988,0,0
1583,1988,0,0
1584,1988,2,202
1585,1988,0,0
1586,1988,0,0
1587,1988,0,0
1588,1988,3,335
1589,1988,0,0
1590,1988,15,1500
1591,1988,3,302
1592,1988,6,601
1593,1988,0,0
1594,1988,0,0
1595,1988,19,1910
1596,1989,0,0
1597,1989,0,0
1598,1989,0,0
1599,1989,0,0
1600,1989,0,0
1601,1989,0,0
1602,1989,0,0
1603,1989,0,0
1604,1989,0,0
1605,1989,0,0
1606,1989,0,0
1607,1989,0,0
1608,1989,0,0
1609,1989,0,0
1610,1989,0,0
1611,1989,0,0
1612,1989,0,0
1613,1989,0,0
1614,1989,0,0
1615,1989,0,0
1616,1989,0,0
1617,1989,0,0
1618,1989,0,0
1619,1989,0,0
1620,1989,0,0
1621,1989,0,0
1622,1989,0,0
1623,1989,0,0
1624,1989,15,1599
1625,1989,19,1910
1626,1989,20,2001
1627,1989,2,208
1628,1989,1,107
1629,1989,1,107
1630,1989,6,604
1631,1989,1,107
1632,1989,18,1899
1633,1989,8,807
1634,1989,1,107
1635,1989,1,107
1636,1989,20,2004
1637,1989,20,2001
